model_name,pixel_count,img_id,actual_class,predicted_class,success,confidence_diff,prior_probs,predicted_probs,perturbation
LeNet,1,6225,0,6,True,0.4168883,"[5.7663542e-01 3.3431644e-07 2.6144965e-03 2.8472045e-04 2.8535951e-04
 1.0869553e-09 4.2017823e-01 4.0531609e-07 1.0339651e-06 2.7114061e-10]","[1.5974711e-01 3.7676716e-07 2.4812401e-03 3.9301606e-04 3.2660557e-04
 9.8855346e-10 8.3704734e-01 5.8598374e-07 3.7290240e-06 1.1980927e-09]",[ 22.80468401   4.01705594 252.36320132]
LeNet,1,8437,0,0,False,0.3769812,"[9.5158350e-01 7.1371464e-10 1.8874893e-04 4.2381173e-05 9.8031396e-06
 4.1348626e-11 4.8175521e-02 1.4389801e-08 9.2902276e-08 5.2643033e-12]","[5.7460231e-01 6.4037717e-09 2.5941589e-04 7.9634694e-05 3.8052996e-05
 1.1750773e-10 4.2502028e-01 8.3292676e-08 1.9146640e-07 3.3869404e-11]",[26.37940314 16.17142073  0.53211906]
LeNet,1,7949,0,0,False,0.043967545,"[9.7713977e-01 4.2115715e-09 1.7683844e-04 1.8234648e-04 6.9959935e-07
 2.2037479e-09 2.2499681e-02 1.1791769e-08 7.0100720e-07 8.9359443e-11]","[9.3317223e-01 2.6856867e-08 1.2773745e-04 1.4804512e-04 1.4268434e-06
 2.0053408e-09 6.6550076e-02 1.9838017e-08 4.6341643e-07 2.2065219e-10]",[26.46385729 16.92628536  0.09241186]
LeNet,1,4211,0,0,False,0.09642249,"[9.8032343e-01 2.0435606e-10 3.1431674e-04 1.9241964e-04 4.8739076e-07
 6.7869196e-11 1.9168958e-02 2.9085416e-11 2.9582188e-07 6.9869826e-13]","[8.83900940e-01 2.09871964e-09 2.11991704e-04 3.51376773e-04
 1.31084585e-06 4.08598128e-10 1.15533076e-01 2.87530721e-10
 1.29469947e-06 9.78652489e-12]",[18.4471462  15.5943602   0.59997851]
LeNet,1,4545,0,0,False,0.039842844,"[9.8959047e-01 1.4046836e-09 6.5698754e-05 2.4607507e-04 3.4859368e-06
 3.8537845e-08 1.0093957e-02 1.2814967e-07 9.9813434e-08 1.1021325e-09]","[9.4974762e-01 6.3879031e-09 1.3220111e-04 3.5079790e-03 8.5666279e-06
 8.4214292e-08 4.6602167e-02 2.3715782e-07 1.0168781e-06 3.6272569e-09]",[ 21.07778915   5.67063875 254.17327209]
LeNet,1,5532,0,0,False,0.0031210184,"[9.9950242e-01 5.3253248e-12 1.1314520e-06 1.2917861e-05 3.8529265e-08
 1.1439889e-12 4.8360508e-04 3.6453939e-12 6.0760161e-09 3.8733821e-15]","[9.9638140e-01 3.1851018e-11 8.7016298e-07 1.9712676e-05 8.4114141e-08
 1.7802061e-12 3.5979464e-03 1.1542124e-11 6.2714052e-09 1.6887394e-14]",[26.20903253 16.36246278  0.58595938]
LeNet,1,9134,0,6,True,0.4194603,"[5.6782407e-01 2.2798559e-07 2.7475163e-04 2.7610345e-02 9.9376251e-04
 1.3387310e-08 4.0329492e-01 2.4453219e-09 1.8879711e-06 1.2309695e-09]","[1.4836378e-01 1.6357170e-07 4.2844753e-04 1.5161100e-02 8.0268440e-04
 9.4538608e-09 8.3523989e-01 3.6723025e-09 3.9602814e-06 3.3935210e-09]",[ 22.17551683   4.23984375 240.10709131]
LeNet,1,6812,0,0,False,0.0052699447,"[9.9945980e-01 3.4473590e-13 7.1773229e-06 3.0189904e-06 4.3643944e-08
 3.8860169e-12 5.3003558e-04 9.8696658e-12 5.4797002e-09 5.7506192e-14]","[9.9418986e-01 3.3201050e-12 4.7258245e-06 1.0704898e-05 1.3023468e-07
 2.3525666e-11 5.7946295e-03 3.5518796e-11 1.0518816e-08 6.9915422e-13]",[19.41153669 14.64888426  0.72402665]
LeNet,1,2512,0,0,False,0.06804919,"[9.7972953e-01 2.6734980e-07 6.2063998e-03 5.4157660e-03 2.2449662e-04
 6.2541250e-07 8.1494302e-03 1.5945987e-07 2.7347004e-04 5.1039271e-09]","[9.1168034e-01 4.7286565e-07 3.5933629e-02 1.3326672e-02 6.1304116e-04
 2.3810728e-06 3.7764844e-02 5.3401089e-07 6.7806919e-04 2.9003489e-08]",[ 24.0228746    4.5127332  254.29539606]
LeNet,1,2140,0,0,False,0.17335743,"[9.5298624e-01 4.3116007e-08 2.1406412e-04 3.0390979e-04 2.4964926e-05
 3.8859431e-09 4.6468366e-02 2.6294839e-07 2.2973350e-06 4.2543316e-10]","[7.7962881e-01 6.4641647e-08 7.7753601e-04 5.2119716e-04 4.3241722e-05
 1.2359450e-08 2.1902357e-01 9.9445174e-07 4.5694160e-06 1.7242689e-09]",[ 24.01717359   4.56322046 254.08501172]
